"grouping","group1","group2","variable","level","emmean","SE","df","lower.CL","upper.CL"
"space_slot","mixed","1","ldiff","listening
difficulty",0.581105981010926,0.0217988865379965,28.5834729221486,0.536494014671813,0.625717947350039
"space_slot","mixed","1","ldiff","control",0.54861119614616,0.0217523604119968,28.3397073696756,0.50407755595002,0.593144836342299
"space_slot","non-spatial","1","ldiff","listening
difficulty",0.590392018233272,0.0218616490659031,28.9137558060119,0.545674131757133,0.635109904709412
"space_slot","non-spatial","1","ldiff","control",0.560674705665313,0.0217876015555857,28.5235055562813,0.516081700348931,0.605267710981694
"space_slot","spatial","1","ldiff","listening
difficulty",0.565588283320608,0.0218464769838772,28.8335694247613,0.520896015803602,0.610280550837615
"space_slot","spatial","1","ldiff","control",0.548901540719237,0.0218005071079806,28.5912555357305,0.504286793346101,0.593516288092373
"space_slot","mixed","2","ldiff","listening
difficulty",0.429699585605682,0.0215306370170996,27.2030879026811,0.385537794547018,0.473861376664346
"space_slot","mixed","2","ldiff","control",0.414011370095747,0.021577578895589,27.4407927566801,0.369771088427013,0.458251651764481
"space_slot","non-spatial","2","ldiff","listening
difficulty",0.440132841755578,0.0215790335376889,27.4483528922443,0.395890138295698,0.484375545215459
"space_slot","non-spatial","2","ldiff","control",0.438035719803262,0.0215737827756603,27.4214073111757,0.393801782564537,0.482269657041988
"space_slot","spatial","2","ldiff","listening
difficulty",0.432265149903339,0.021598183808027,27.545890744073,0.387990394167895,0.476539905638783
"space_slot","spatial","2","ldiff","control",0.43182673383056,0.0215947755528161,27.5283468912577,0.387557671925876,0.476095795735244
"space_slot","mixed","3","ldiff","listening
difficulty",0.553057706569897,0.0217838320850674,28.5045915413951,0.508471108872887,0.597644304266907
"space_slot","mixed","3","ldiff","control",0.535469245903589,0.0217834651928068,28.5016726410524,0.490883197228784,0.580055294578395
"space_slot","non-spatial","3","ldiff","listening
difficulty",0.583658427268907,0.0218896974454781,29.0626659881292,0.538893161931061,0.628423692606754
"space_slot","non-spatial","3","ldiff","control",0.574720137037053,0.0219210848164567,29.2283964322836,0.529901697261026,0.619538576813081
"space_slot","spatial","3","ldiff","listening
difficulty",0.558037247970827,0.0219176486517885,29.2111261231743,0.513224692077058,0.602849803864596
"space_slot","spatial","3","ldiff","control",0.551753102699884,0.0219070984601578,29.1533165833873,0.506958288282237,0.59654791711753
"space_slot","mixed","4","ldiff","listening
difficulty",0.429759825052495,0.0215345406936159,27.2227585530318,0.385591508836104,0.473928141268886
"space_slot","mixed","4","ldiff","control",0.405165782813424,0.0214947416902261,27.0221978595292,0.361063911028299,0.449267654598548
"space_slot","non-spatial","4","ldiff","listening
difficulty",0.475195729849476,0.0215406905821303,27.2539015595502,0.431017141939595,0.519374317759358
"space_slot","non-spatial","4","ldiff","control",0.450880884024796,0.0214883891510535,26.990291275503,0.406789609303355,0.494972158746237
