# {'date': '2015-04-09 18_50_38.865000', 'exp_name': 'capd', 'session': '3', 'participant': '0502'}
timestamp	event	value
17.1813612863	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
17.1814005615	flip	17.1813585204
25.073815281	keypress	1
25.0801295641	flip	25.0801240324
25.1646795318	flip	25.1646734469
25.6838244263	flip	25.6838169585
26.9824641468	flip	26.9824619341
26.9893978908	flip	26.9893965079
27.0032601237	flip	27.0032568046
27.0101753364	flip	27.010172294
28.9894249963	flip	28.9894186348
29.0033079731	flip	29.0033032712
29.0102527806	flip	29.0102483552
30.0796778986	flip	30.079669601
30.0865870264	flip	30.0865823244
30.093505005	flip	30.0935014093
31.0865707078	flip	31.0865676653
31.0935127494	flip	31.0935102601
31.1004575569	flip	31.1004553442
32.0587972862	flip	32.0587956267
32.0726852417	flip	32.0726835821
32.0796314321	flip	32.0796300491
33.0311090533	flip	33.0311024152
35.6491883434	flip	35.6491858542
35.6561245767	flip	35.6561226406
37.0728116416	flip	37.0728088758
37.0797232587	flip	37.079721046
37.0866716618	flip	37.0866694491
38.0797171738	flip	38.0797138548
38.0935832789	flip	38.0935791301
38.1005164698	flip	38.1005142571
39.0935766408	flip	39.0935744282
39.1005200654	flip	39.1005186824
39.1074402567	flip	39.1074385971
40.1005336181	flip	40.1005319586
40.1074576816	flip	40.1074560221
41.1839545602	flip	41.1839495816
41.2051607147	flip	41.205158502
41.2116723879	flip	41.2116701752
42.2394618514	flip	42.2394590855
44.8019600017	flip	44.801957789
45.4061333583	flip	45.4061316988
45.4134363452	flip	45.4134346856
46.0797489813	screen_text	We will now determine the dynamic range of your pupil.\n\nPress a button to continue.
46.0797821716	flip	46.0797470452
48.749104881	keypress	1
48.7534099644	flip	48.7534071985
48.767273027	flip	48.7672699845
59.0978930479	trial_id	FPDR_01
59.1019832073	play	None
59.1020847145	flip	59.1006600181
62.1029255371	stop	None
62.1031257857	trial_ok	None
62.1076471433	trial_id	FPDR_02
62.1160916021	play	None
62.1161601955	flip	62.1145938868
65.1170106986	stop	None
65.1171871607	trial_ok	None
65.1282970825	trial_id	FPDR_03
65.1367896674	play	None
65.1368613033	flip	65.1354482234
68.137686637	stop	None
68.1378528654	trial_ok	None
68.147729212	trial_id	FPDR_04
68.1579789501	play	None
68.166620615	flip	68.1566704199
71.1675402648	stop	None
71.1676843663	trial_ok	None
71.1776663688	trial_id	FPDR_05
71.1852973871	play	None
71.1854326378	flip	71.1841075124
74.1863569895	stop	None
74.1864999846	trial_ok	None
74.1974810172	trial_id	FPDR_06
74.2066161122	play	None
74.2066827695	flip	74.2053277728
77.2075161243	stop	None
77.2076826293	trial_ok	None
77.2175971447	trial_id	FPDR_07
77.2270594415	play	None
77.2364628253	flip	77.2258250364
80.2373340724	stop	None
80.2374460899	trial_ok	None
80.2474020933	trial_id	FPDR_08
80.2548370118	play	None
80.2548793295	flip	80.253617819
83.2556532182	stop	None
83.2557715972	trial_ok	None
83.2573619689	trial_id	FPDR_09
83.2617959252	play	None
83.2618813904	flip	83.2605941573
86.262522241	stop	None
86.262643939	trial_ok	None
86.2745603867	flip	86.2745526423
96.2774695223	trial_id	FPDR_01
96.2902013466	play	None
96.2961833569	flip	96.2887691823
99.2969951379	stop	None
99.2971577707	trial_ok	None
99.3069812892	trial_id	FPDR_02
99.3178538999	play	None
99.3261083439	flip	99.3166089846
102.326920401	stop	None
102.327105161	trial_ok	None
102.337867967	trial_id	FPDR_03
102.345341884	play	None
102.345409371	flip	102.344068204
105.346274534	stop	None
105.346626075	trial_ok	None
105.357662425	trial_id	FPDR_04
105.36628058	play	None
105.366403661	flip	105.36495739
108.36709651	stop	None
108.367252504	trial_ok	None
108.377726554	trial_id	FPDR_05
108.386948774	play	None
108.395958575	flip	108.385883363
111.396749889	stop	None
111.396937967	trial_ok	None
111.407508822	trial_id	FPDR_06
111.422149093	play	None
111.42591371	flip	111.421039428
114.426818701	stop	None
114.426963355	trial_ok	None
114.436794065	trial_id	FPDR_07
114.442695312	play	None
114.442797373	flip	114.441389271
117.443636259	stop	None
117.443751319	trial_ok	None
117.446937594	trial_id	FPDR_08
117.457054294	play	None
117.465810466	flip	117.455603875
120.466867026	stop	None
120.467227694	trial_ok	None
120.485891744	trial_id	FPDR_09
120.498094458	play	None
120.505755348	flip	120.497023239
123.506648169	stop	None
123.506823801	trial_ok	None
123.524793065	flip	123.524790576
123.753958435	screen_text	Processing data, please wait...
123.753984987	flip	123.753955669
129.078211161	bgcolor	[ 0.03137255  0.03137255  0.03137255]
129.078498534	fcolor	[ 0.23137255  0.23137255  0.23137255]
134.587747721	flip	134.587743296
141.626792314	flip	141.626787059
141.630519316	flip	141.630511018
141.747336957	screen_text	You are ready to start experimental block 1/8.\n\nNo feedback will be provided.\n\nRemember to try to press the button as quickly as possible whenever the target speaker (only) says the letter "O".\n\nOn this set of trials, the initial target speaker will always be a male voice coming from the left side.\n\n\n\nPress a button to continue.
141.747460038	flip	141.747331702
158.819684081	keypress	1
158.823710478	flip	158.823707989
158.824001724	block	LM0
159.16557097	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
159.165611351	flip	159.165567374
162.295754481	keypress	1
162.295947705	flip	162.295945493
162.302886981	flip	162.302885045
162.816761522	flip	162.816759586
164.00431696	flip	164.004310046
164.011273108	flip	164.011269789
164.018222341	flip	164.018218745
164.025153595	flip	164.025151936
165.28203541	flip	165.282033751
165.289002345	flip	165.289000962
165.295949641	flip	165.295948258
166.629293485	flip	166.629291825
166.636602833	flip	166.636601174
166.643177568	flip	166.643176185
