# {'date': '2015-05-04 09_19_19.497000', 'exp_name': 'capd', 'session': '3', 'participant': '601'}
timestamp	event	value
34.1019862381	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
34.1020653424	flip	34.1019826424
1906.71068159	keypress	1
1906.67795019	flip	1906.67794632
1906.7630388	flip	1906.76303244
1907.29552026	flip	1907.29551611
1913.6424387	flip	1913.64243566
1913.78825068	flip	1913.78824847
1913.88557474	flip	1913.88556423
1913.98269606	flip	1913.98269385
1914.10769503	flip	1914.10769281
1914.20491979	flip	1914.20491758
1914.30214539	flip	1914.30214345
1914.39936766	flip	1914.39936573
1914.55211759	flip	1914.5521151
1914.69809193	flip	1914.69808335
1914.85076164	flip	1914.85075943
1914.97576669	flip	1914.97576392
1915.07298758	flip	1915.07298565
1915.2049386	flip	1915.20493583
1915.30216392	flip	1915.30215977
1915.39936296	flip	1915.3993602
1915.49660736	flip	1915.49660487
1915.59382826	flip	1915.59382549
1915.71885654	flip	1915.71885184
1915.83689017	flip	1915.83688796
1915.93421976	flip	1915.93421119
1916.03133832	flip	1916.03133638
1916.1356172	flip	1916.13560835
1916.23272663	flip	1916.23272469
1916.32995112	flip	1916.32994918
1916.43423359	flip	1916.43422474
1916.53134219	flip	1916.53133998
1916.63551458	flip	1916.63551265
1916.73273963	flip	1916.73273741
1916.82996135	flip	1916.82995914
1916.93412766	flip	1916.93412572
1917.03135215	flip	1917.03134993
1917.13552012	flip	1917.1355179
1917.23966153	flip	1917.23965932
1917.34385661	flip	1917.34385467
1917.47581675	flip	1917.4758115
1917.60080935	flip	1917.60080714
1917.70497456	flip	1917.70497234
1917.80230221	flip	1917.80229143
1917.93414951	flip	1917.93414591
1918.03137317	flip	1918.03137013
1918.13554197	flip	1918.13553837
1918.23276452	flip	1918.23276065
1918.32998403	flip	1918.32998154
1918.46193339	flip	1918.46193145
1918.55912662	flip	1918.55912469
1918.65638015	flip	1918.65637822
1918.75360464	flip	1918.7536027
1918.88554902	flip	1918.88554708
1919.01055822	flip	1919.01055628
1919.11471927	flip	1919.11471733
1919.22583293	flip	1919.225831
1919.33694825	flip	1919.33694632
1919.44805749	flip	1919.448055
1919.53833767	flip	1919.53833518
1919.62861812	flip	1919.62861536
1919.73973013	flip	1919.73972819
1919.83001058	flip	1919.83000837
1919.93417827	flip	1919.93417634
1920.03140221	flip	1920.03140027
1920.14251615	flip	1920.14251421
1920.27446329	flip	1920.2744608
1920.38557419	flip	1920.38557225
1920.51752382	flip	1920.51752189
1920.62863334	flip	1920.62863085
1920.71891186	flip	1920.71890992
1920.80916106	flip	1920.80915912
1920.89947138	flip	1920.89946917
1920.98974686	flip	1920.98974492
1921.08002842	flip	1921.08002621
1921.23281071	flip	1921.2328085
1921.35781244	flip	1921.35781023
1921.45503195	flip	1921.45503001
1921.5522592	flip	1921.55225727
1921.64948203	flip	1921.6494801
1921.76754222	flip	1921.76754
1921.86476145	flip	1921.86475951
1921.96199036	flip	1921.96198788
1922.06615944	flip	1922.06615695
1922.16348931	flip	1922.16348073
1922.28838925	flip	1922.28838427
1922.37866058	flip	1922.37865837
1922.51061907	flip	1922.51061658
1922.62866708	flip	1922.62866487
1922.71894588	flip	1922.71894366
1922.83006701	flip	1922.83006507
1922.93422225	flip	1922.93422032
1923.0314448	flip	1923.03144315
1923.12867261	flip	1923.12867068
1923.21895168	flip	1923.21894975
1923.30923076	flip	1923.30922882
1923.39951204	flip	1923.39951011
1923.48978669	flip	1923.48978475
1923.60100684	flip	1923.60099826
1923.71898515	flip	1923.71898211
1923.83007669	flip	1923.8300742
1923.93434865	flip	1923.93434008
1924.03146472	flip	1924.03146251
1924.12868534	flip	1924.1286834
1924.2467458	flip	1924.24674358
1924.34396946	flip	1924.34396752
1924.47596722	flip	1924.47596003
1924.59397153	flip	1924.59396932
1924.72592587	flip	1924.7259231
1924.83006894	flip	1924.83006673
1924.9342571	flip	1924.93425517
1925.03148076	flip	1925.03147855
1925.13564707	flip	1925.13564486
1925.23287267	flip	1925.23287073
1925.33007641	flip	1925.3300742
1925.43426263	flip	1925.4342607
1925.53149072	flip	1925.53148851
1925.63565758	flip	1925.63565564
1925.7328829	flip	1925.73288069
