# {'date': '2015-03-24 14_46_37.574000', 'exp_name': 'capd', 'session': '2', 'participant': '506'}
timestamp	event	value
20.437019483	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
20.4370593115	flip	20.437016164
2157.11568835	keypress	1
2157.05433567	flip	2157.05433401
2157.12506102	flip	2157.12505577
2157.65118751	flip	2157.65118198
2158.95728372	flip	2158.95727819
2159.15108642	flip	2159.15108448
2159.29010675	flip	2159.29009818
2159.42887125	flip	2159.42886931
2159.56084333	flip	2159.56084112
2159.69275817	flip	2159.69275623
2159.80387204	flip	2159.80387011
2159.9497047	flip	2159.94970277
2160.13719653	flip	2160.13719404
2160.24137694	flip	2160.24137472
2160.33859816	flip	2160.33859622
2160.43582214	flip	2160.4358202
2160.5677768	flip	2160.56777238
2160.70666272	flip	2160.70665967
2160.85944157	flip	2160.85943935
2161.03303022	flip	2161.03302746
2161.14416263	flip	2161.14416069
2161.29694231	flip	2161.29694037
2161.4498246	flip	2161.44981769
2161.58166974	flip	2161.58166669
2161.75528882	flip	2161.75528688
2161.88028899	flip	2161.88028678
2161.99139595	flip	2161.99139429
2162.08862215	flip	2162.08861994
2162.22056602	flip	2162.22056381
2162.38028913	flip	2162.38028719
2162.47751367	flip	2162.47751145
2162.65112998	flip	2162.65112777
2162.79695904	flip	2162.79695711
2162.93584745	flip	2162.93584524
2163.04696354	flip	2163.0469616
2163.15113537	flip	2163.15113316
2163.28304827	flip	2163.28304633
2163.45668588	flip	2163.45668395
2163.59558341	flip	2163.59558092
2163.7136338	flip	2163.71363186
2163.83168723	flip	2163.83168474
2163.94974453	flip	2163.94974259
2164.05398275	flip	2164.05397722
2164.21373323	flip	2164.21372825
2164.34559551	flip	2164.3455933
2164.43586252	flip	2164.43586059
2164.58864082	flip	2164.58863861
2164.71364127	flip	2164.71363933
2164.86642039	flip	2164.86641846
2164.99836703	flip	2164.99836454
2165.1094834	flip	2165.10948036
2165.19975594	flip	2165.19975373
2165.35253894	flip	2165.35253645
2165.47753524	flip	2165.4775333
2165.56087072	flip	2165.5608685
2165.67892719	flip	2165.67892525
2165.79696181	flip	2165.79695987
2165.90115273	flip	2165.90115052
2166.04004196	flip	2166.04004003
2166.15809456	flip	2166.15809235
2166.30393109	flip	2166.30392888
2166.37337806	flip	2166.37337613
2166.44976486	flip	2166.44976292
2166.53321484	flip	2166.53320572
2166.67199372	flip	2166.67199178
2166.76226571	flip	2166.76226377
2166.85949329	flip	2166.85949108
2167.02613354	flip	2167.02613133
2167.1303275	flip	2167.13032529
2167.24849572	flip	2167.24848742
2167.41505327	flip	2167.41505078
2167.56784208	flip	2167.56783959
2167.71377403	flip	2167.71376822
2167.83172319	flip	2167.83171904
2167.96366346	flip	2167.96366097
2168.10255076	flip	2168.10254855
2168.19977807	flip	2168.19977392
2168.36644266	flip	2168.36644072
2168.49839041	flip	2168.49838736
2168.63728047	flip	2168.63727853
2168.7414476	flip	2168.74144539
2168.83866827	flip	2168.83866606
2168.93589032	flip	2168.93588838
2169.03311735	flip	2169.03311513
2169.19283962	flip	2169.19283741
2169.32488915	flip	2169.32488141
2169.42895367	flip	2169.42895173
2169.5539508	flip	2169.55394887
2169.69284474	flip	2169.69284253
2169.79006568	flip	2169.79006347
2169.93590277	flip	2169.9359
2170.04006879	flip	2170.04006658
2170.13728752	flip	2170.13728559
2170.2414577	flip	2170.24145576
2170.35256853	flip	2170.3525666
2170.484516	flip	2170.48451407
2170.65118419	flip	2170.65118198
2170.769369	flip	2170.76935821
2170.92202145	flip	2170.92201896
2171.0261836	flip	2171.02618167
2171.11646416	flip	2171.11646223
2171.2692444	flip	2171.26924246
2171.40118827	flip	2171.4011855
2171.57480873	flip	2171.57480652
2171.71369133	flip	2171.71368856
2171.86646935	flip	2171.86646741
2171.99841876	flip	2171.99841599
2172.15814131	flip	2172.15813909
2172.30397341	flip	2172.30397148
2172.43591922	flip	2172.43591729
2172.5609194	flip	2172.56091746
2172.65827642	flip	2172.65826563
2172.8387045	flip	2172.83870174
2172.99147865	flip	2172.99147671
2173.13037812	flip	2173.13037286
2173.26926016	flip	2173.26925795
2173.37342536	flip	2173.37342342
2173.44287094	flip	2173.44286901
2173.51231487	flip	2173.51231293
2173.6721428	flip	2173.67213506
2173.81094823	flip	2173.81094408
2173.9359473	flip	2173.93594508
2174.0678837	flip	2174.06788149
2174.23462353	flip	2174.23461799
2174.36649659	flip	2174.36649493
2174.49149455	flip	2174.49149262
2174.61649998	flip	2174.61649777
2174.74150126	flip	2174.7414985
2174.85261099	flip	2174.85260905
2174.97066912	flip	2174.97066718
2175.10955863	flip	2175.1095567
2175.23456046	flip	2175.23455825
2175.34567158	flip	2175.34566992
2175.47761739	flip	2175.47761517
2175.57483695	flip	2175.57483473
2175.68595248	flip	2175.68595027
2175.83178459	flip	2175.83178293
2175.94983968	flip	2175.94983774
2176.05400626	flip	2176.05400432
2176.14428626	flip	2176.14428433
2176.25540097	flip	2176.25539904
2176.38731857	flip	2176.38731663
2176.50539827	flip	2176.50539468
2176.61650634	flip	2176.61650413
2176.75539834	flip	2176.75539641
2176.88040239	flip	2176.8803999
2177.01929052	flip	2177.01928803
2177.13734533	flip	2177.13734339
2177.234566	flip	2177.23456378
2177.35262496	flip	2177.35262302
2177.46373773	flip	2177.46373496
2177.58179531	flip	2177.58179309
2177.68596216	flip	2177.68596023
2177.7901304	flip	2177.79012847
2177.94985157	flip	2177.94984963
2178.06096296	flip	2178.06096102
2178.17207324	flip	2178.1720713
2178.31096718	flip	2178.31096303
2178.42207607	flip	2178.42207414
2178.55402244	flip	2178.5540205
2178.66513217	flip	2178.66513023
2178.75541245	flip	2178.75541051
2178.86652854	flip	2178.86652633
2178.96375197	flip	2178.96374976
2179.07486253	flip	2179.07486004
2179.17900671	flip	2179.17900422
2179.29708199	flip	2179.29707977
2179.42208658	flip	2179.42208437
2179.5540985	flip	2179.55409075
2179.65820008	flip	2179.65819787
2179.75542185	flip	2179.75541992
2179.87348109	flip	2179.87347888
2180.03322079	flip	2180.0332183
2180.15126205	flip	2180.15125984
2180.26931299	flip	2180.26930995
2180.38736974	flip	2180.38736697
2180.54709505	flip	2180.54709312
2180.6859854	flip	2180.68598291
2180.81098972	flip	2180.81098557
2180.92209862	flip	2180.92209585
2181.06793293	flip	2181.067931
2181.16515277	flip	2181.16515084
2181.25543223	flip	2181.25543057
2181.3596024	flip	2181.35960047
2181.45680039	flip	2181.45679845
2181.55404456	flip	2181.55404235
2181.64432457	flip	2181.64432236
2181.76238409	flip	2181.76238215
2181.8804342	flip	2181.88043226
2182.00544377	flip	2182.00544045
2182.15127837	flip	2182.15127394
2182.28321837	flip	2182.28321588
2182.4498943	flip	2182.44989071
2182.56794303	flip	2182.56794109
2182.67905691	flip	2182.67905469
2182.85267682	flip	2182.8526746
2182.99155748	flip	2182.99155554
2183.13735999	flip	2183.13735778
2183.28322667	flip	2183.28322418
2183.41516999	flip	2183.41516805
2183.52629438	flip	2183.52629189
2183.62350785	flip	2183.62350591
2183.6998941	flip	2183.69989188
2183.83878471	flip	2183.83878278
2183.93600621	flip	2183.93600427
2184.04712368	flip	2184.04712175
2184.1512886	flip	2184.15128584
2184.2693495	flip	2184.26934673
2184.39435825	flip	2184.39435493
2184.54712742	flip	2184.54712548
2184.67907406	flip	2184.6790724
2184.81102097	flip	2184.81101848
2184.92907274	flip	2184.92907081
2185.04713281	flip	2185.0471306
2185.18602149	flip	2185.18601928
2185.2762979	flip	2185.27629624
2185.36657929	flip	2185.36657736
2185.49852732	flip	2185.49852289
2185.63741268	flip	2185.63741074
2185.7763033	flip	2185.77630108
2185.88046822	flip	2185.880466
2185.99166645	flip	2185.99166452
2186.1096452	flip	2186.10964327
2186.24158852	flip	2186.24158631
2186.37353599	flip	2186.37353406
2186.47075943	flip	2186.47075694
2186.58881313	flip	2186.58881092
2186.70687016	flip	2186.70686822
2186.84576409	flip	2186.84576216
2186.97770603	flip	2186.9777041
2187.07492836	flip	2187.07492642
2187.20687583	flip	2187.20687361
2187.34576755	flip	2187.34576561
2187.45687673	flip	2187.45687479
2187.6166167	flip	2187.61660785
2187.75549155	flip	2187.75548934
2187.88743819	flip	2187.88743626
2187.98465443	flip	2187.9846525
2188.10966456	flip	2188.10966263
2188.26938435	flip	2188.26938186
2188.44299624	flip	2188.4429943
2188.56799779	flip	2188.56799586
2188.6652204	flip	2188.66521846
2188.83893656	flip	2188.83893075
2188.95688959	flip	2188.95688765
2189.0541133	flip	2189.05411108
2189.16522192	flip	2189.16521998
2189.25550054	flip	2189.25549833
2189.36659478	flip	2189.36659202
2189.4985287	flip	2189.49852676
2189.59578228	flip	2189.59578034
2189.70689339	flip	2189.70689145
2189.82495318	flip	2189.82495124
2189.97078639	flip	2189.97078446
