# {'date': '2015-03-20 09_52_29.961000', 'exp_name': 'capd', 'session': '5', 'participant': '503'}
timestamp	event	value
19.9034703115	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
19.9035153955	flip	19.9034667158
1609.86783316	keypress	1
1609.84539982	flip	1609.84539706
1609.91638067	flip	1609.91637514
1610.43515998	flip	1610.43515777
1612.92139496	flip	1612.92139275
1613.06715396	flip	1613.06715175
1613.16437512	flip	1613.16437319
1613.28937803	flip	1613.28937609
1613.38659808	flip	1613.38659615
1613.48382561	flip	1613.48382395
1613.5810476	flip	1613.58104566
1613.67132664	flip	1613.67132443
1613.76853121	flip	1613.768529
1613.85883128	flip	1613.85882934
1613.95605023	flip	1613.95604857
1614.05337151	flip	1614.05336266
1614.17828397	flip	1614.17828204
1614.2755079	flip	1614.27550596
1614.40745541	flip	1614.40745347
1614.50467934	flip	1614.50467685
1614.60189939	flip	1614.60189718
1614.69218287	flip	1614.69218121
1614.80327194	flip	1614.80327001
1614.90051717	flip	1614.90051523
1614.99079815	flip	1614.99079621
1615.08107415	flip	1615.08107222
1615.17135956	flip	1615.17135735
1615.26163639	flip	1615.26163446
1615.35191295	flip	1615.35191101
1615.4421931	flip	1615.44219089
1615.53248183	flip	1615.53247989
1615.62275313	flip	1615.62275147
1615.7130366	flip	1615.71303438
1615.86581239	flip	1615.86581018
1615.96303521	flip	1615.96303245
1616.06025942	flip	1616.06025665
1616.16439725	flip	1616.16439531
1616.26164994	flip	1616.26164801
1616.35192899	flip	1616.35192705
1616.44220721	flip	1616.44220555
1616.53249012	flip	1616.53248819
1616.62277027	flip	1616.62276834
1616.71307892	flip	1616.71307062
1616.81027187	flip	1616.81026993
1616.90054787	flip	1616.90054593
1616.99082885	flip	1616.99082691
1617.10198126	flip	1617.10197573
1617.19222103	flip	1617.1922191
1617.28250008	flip	1617.28249814
1617.38667193	flip	1617.38666972
1617.48389254	flip	1617.48389033
1617.58111951	flip	1617.58111785
1617.67139773	flip	1617.67139579
1617.76167788	flip	1617.76167594
1617.87279074	flip	1617.87278798
1617.97001771	flip	1617.97001522
1618.06029759	flip	1618.06029482
1618.15057608	flip	1618.15057359
1618.26165658	flip	1618.26165465
1618.35196716	flip	1618.35196522
1618.44224537	flip	1618.44224372
1618.51863438	flip	1618.51863244
1618.60891619	flip	1618.60891453
1618.69919883	flip	1618.6991969
1618.78947317	flip	1618.78947124
1618.87975692	flip	1618.87975471
1618.9700061	flip	1618.97000416
1619.06725602	flip	1619.06725409
1619.16448355	flip	1619.16448161
1619.26170637	flip	1619.26170443
1619.35893113	flip	1619.35892919
1619.45628865	flip	1619.45627786
1619.57421556	flip	1619.57421335
1619.68530519	flip	1619.68530298
1619.7825471	flip	1619.78254489
1619.87283334	flip	1619.87283112
1619.97699579	flip	1619.97699385
1620.07421999	flip	1620.07421778
