# {'date': '2015-03-03 09_56_11.160000', 'exp_name': 'capd', 'session': '2', 'participant': '6'}
timestamp	event	value
16.612136696	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
16.6121870348	flip	16.612131994
1088.65193374	keypress	1
1088.63310725	flip	1088.63310476
1088.78004828	flip	1088.7800422
1089.309408	flip	1089.30940579
1091.5094626	flip	1091.50946011
1091.5261325	flip	1091.52613001
1091.54436208	flip	1091.54435959
1092.60945159	flip	1092.60944965
1092.626119	flip	1092.62611734
1092.64278586	flip	1092.6427842
1093.69279391	flip	1093.69279225
1093.70945635	flip	1093.70945469
1094.6928224	flip	1094.69282046
1094.70947847	flip	1094.70947709
1094.72614091	flip	1094.72613897
1095.60948035	flip	1095.60947842
1095.62615385	flip	1095.62615192
1095.64280854	flip	1095.64280688
1096.54285302	flip	1096.5428461
1098.04436097	flip	1098.04435489
1098.06080462	flip	1098.06080214
1099.09302813	flip	1099.09302232
1099.10951437	flip	1099.10951188
1099.12622079	flip	1099.12621885
1100.09289481	flip	1100.09289287
1100.1095141	flip	1100.10951216
1100.12621083	flip	1100.12620917
1101.09286798	flip	1101.09286605
1101.10953484	flip	1101.10953291
1101.12623102	flip	1101.12622936
1102.10954867	flip	1102.10954646
1102.1262407	flip	1102.12623932
1103.07625976	flip	1103.07625754
1103.09291334	flip	1103.09291168
1103.10956554	flip	1103.10956388
1104.07626999	flip	1104.07626778
1104.09292634	flip	1104.09292468
1104.10961505	flip	1104.10961339
1105.09295566	flip	1105.09295372
1107.3763252	flip	1107.37632354
1109.00970378	flip	1109.00970101
1109.02632169	flip	1109.0263192
1109.04304303	flip	1109.04304137
1110.49303609	flip	1110.49303443
1110.50970378	flip	1110.50970212
1111.57638367	flip	1111.57638201
1111.59305966	flip	1111.593058
1112.90982321	flip	1112.90981519
1112.92655092	flip	1112.92654318
1112.94310272	flip	1112.94309995
1114.02762386	flip	1114.02762192
1114.04307595	flip	1114.04307456
1114.06098911	flip	1114.06098745
1115.15982695	flip	1115.1598228
1117.05978983	flip	1117.05978817
1117.07645945	flip	1117.07645752
1118.25981677	flip	1118.25981511
1118.27648169	flip	1118.27647975
1119.30983118	flip	1119.30982924
1119.32649195	flip	1119.32649029
1119.34315992	flip	1119.34315826
1120.32651242	flip	1120.32651021
1120.34316739	flip	1120.343166
1120.35984116	flip	1120.35983923
1121.32667727	flip	1121.32666924
1121.34325617	flip	1121.34325175
1121.35991058	flip	1121.35990727
1122.50987554	flip	1122.50987361
1122.52653604	flip	1122.52653438
1122.54320733	flip	1122.54320594
1123.77670434	flip	1123.77669632
1123.79338116	flip	1123.79337397
1123.80998164	flip	1123.80997694
1124.79452374	flip	1124.7945207
1128.47677001	flip	1128.47676364
1129.84345504	flip	1129.84344785
1129.86149571	flip	1129.86149377
1129.87664023	flip	1129.87663829
1132.2267187	flip	1132.22671676
1132.24334628	flip	1132.24334462
1132.25999987	flip	1132.25999848
1133.24336233	flip	1133.24336039
1133.2600314	flip	1133.26002974
1133.27668028	flip	1133.27667834
1134.26008589	flip	1134.26008257
1134.27675026	flip	1134.27674721
1134.29341269	flip	1134.29340993
1135.04338738	flip	1135.04338545
1135.06126791	flip	1135.06126625
1135.07671447	flip	1135.07671281
1136.04345376	flip	1136.04345045
1137.91004503	flip	1137.91004337
1137.92675366	flip	1137.926752
1139.32677684	flip	1139.32677518
1139.34344342	flip	1139.34344176
1139.36010309	flip	1139.36010143
1140.46016759	flip	1140.46016455
1140.47684164	flip	1140.47683998
1140.49345789	flip	1140.49345623
1141.47685768	flip	1141.47685436
1141.49353505	flip	1141.49353229
1141.51014106	flip	1141.51013941
1142.49347835	flip	1142.49347642
1142.51015489	flip	1142.51015351
1143.59350911	flip	1143.59350662
1143.61016103	flip	1143.61015938
1143.62682872	flip	1143.62682734
1144.6935194	flip	1144.69351719
1144.71019096	flip	1144.71018903
1144.72685174	flip	1144.72685008
1145.92686457	flip	1145.92686263
1148.81024744	flip	1148.8102455
1149.81028395	flip	1149.81028091
1149.82827151	flip	1149.82826819
1150.52702532	screen_text	We will now determine the dynamic range of your pupil.\n\nPress a button to continue.
1150.52706985	flip	1150.52702173
1154.2346691	keypress	1
1154.21036853	flip	1154.21036576
1154.22699031	flip	1154.22698837
1164.55582274	trial_id	FPDR_01
1164.57962914	play	None
1164.5849598	flip	1164.57854852
1167.58582137	stop	None
1167.58595745	trial_ok	None
1167.60490588	trial_id	FPDR_02
1167.62816132	play	None
1167.6348503	flip	1167.62717861
1170.63573151	stop	None
1170.63589359	trial_ok	None
1170.65485723	trial_id	FPDR_03
1170.67852478	play	None
