# {'date': '2015-06-04 16_38_06.009000', 'exp_name': 'capd', 'session': '5', 'participant': '513'}
timestamp	event	value
8.77733034838	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
8.77736962407	flip	8.7773273059
713.778717655	keypress	1
713.76545692	flip	713.765454984
713.83615897	flip	713.836155651
714.362228348	flip	714.362226135
715.772048045	flip	715.772043619
715.924753033	flip	715.924750821
716.021975578	flip	716.021973089
716.1608818	flip	716.160879034
716.279057372	flip	716.279047139
716.396979312	flip	716.3969771
716.494204346	flip	716.49420241
716.612265134	flip	716.612263198
716.751155037	flip	716.751152824
716.903979512	flip	716.903975087
717.02199494	flip	717.021993003
717.112271772	flip	717.11226956
717.237279102	flip	717.237276613
717.403946045	flip	717.403944109
717.535893002	flip	717.535891066
717.626172047	flip	717.626169835
717.702560498	flip	717.702558286
717.820615754	flip	717.820613818
717.945623084	flip	717.945620871
718.056701373	flip	718.056699437
718.16784798	flip	718.16784632
718.285871705	flip	718.285869492
718.397018588	flip	718.397016652
718.549802958	flip	718.549800745
718.702580136	flip	718.7025782
718.792856969	flip	718.792855309
718.903938577	flip	718.903936918
719.035920384	flip	719.035917895
719.133145142	flip	719.133143206
719.29287716	flip	719.292874947
719.410926884	flip	719.410924948
719.528980757	flip	719.528978821
719.647038779	flip	719.647037119
719.758157727	flip	719.758155514
719.855375016	flip	719.85537308
719.966457731	flip	719.966455795
720.056769967	flip	720.056768031
720.147050672	flip	720.147048736
720.223439953	flip	720.22343774
720.313718445	flip	720.313716509
720.424835734	flip	720.424833244
720.515114502	flip	720.515112013
720.605395484	flip	720.605392995
720.695671764	flip	720.695669274
720.785954128	flip	720.785951362
720.897066991	flip	720.897064778
720.987343271	flip	720.987341335
721.070675774	flip	721.070673838
721.209576464	flip	721.209573698
721.369297972	flip	721.369295759
721.487353781	flip	721.487351845
721.626241195	flip	721.626239259
721.779131498	flip	721.779123477
721.883196588	flip	721.883194098
721.973472867	flip	721.973470654
722.070699561	flip	722.070697348
722.1888259	flip	722.188817879
722.265143821	flip	722.265140778
722.341537804	flip	722.341535314
722.43181353	flip	722.431810488
722.535958554	flip	722.535956064
722.67487252	flip	722.674870584
722.80682003	flip	722.806817817
722.938769199	flip	722.938766987
723.035990085	flip	723.035987872
723.161001287	flip	723.160998797
723.327665187	flip	723.327663251
723.452668368	flip	723.452666156
723.57072556	flip	723.570723624
723.688783029	flip	723.688781093
723.834616985	flip	723.834615048
723.945729571	flip	723.945727635
724.07770474	flip	724.077696165
724.16110888	flip	724.161098646
724.237400801	flip	724.237398589
724.404074659	flip	724.404072723
724.536021063	flip	724.536019127
724.668021125	flip	724.66801587
724.786029084	flip	724.786026595
724.862416429	flip	724.862414492
724.980472514	flip	724.980470301
725.105474312	flip	725.105472376
725.216622578	flip	725.216618983
725.369369332	flip	725.369367396
725.48742763	flip	725.487425694
725.598578386	flip	725.598572301
725.681875486	flip	725.68187355
725.806876731	flip	725.806874795
725.911042775	flip	725.911040286
725.987435375	flip	725.987433439
726.056877284	flip	726.056875348
726.126434531	flip	726.12642651
726.25140784	flip	726.251402861
726.327719952	flip	726.327718016
726.445779357	flip	726.445777144
726.536059232	flip	726.536057296
726.633282054	flip	726.633279841
726.751336756	flip	726.751334267
726.945786272	flip	726.945784336
727.015233712	flip	727.015231776
727.126345192	flip	727.126343256
727.279104669	flip	727.279101903
727.39025017	flip	727.390248233
727.563857846	flip	727.563854251
727.654129147	flip	727.654127211
727.730523407	flip	727.730521471
727.841636546	flip	727.84163378
727.918029146	flip	727.91802638
728.056922921	flip	728.056920432
728.168032465	flip	728.168030252
728.279124307	flip	728.279121541
728.362480321	flip	728.362478385
728.452756324	flip	728.452754388
728.556925964	flip	728.556923751
728.668041039	flip	728.668039103
728.751375479	flip	728.751373543
728.827770015	flip	728.827768079
728.911097263	flip	728.911095327
729.015249201	flip	729.015246712
729.147220775	flip	729.147218285
729.258351063	flip	729.258348573
729.376385021	flip	729.376383085
729.452774579	flip	729.452772366
729.570836473	flip	729.570834536
729.688892835	flip	729.688890622
729.786116763	flip	729.78611455
729.876392766	flip	729.87639083
729.987512543	flip	729.987510054
730.168072017	flip	730.168069805
730.293071049	flip	730.293069113
730.438917451	flip	730.438914962
730.563909845	flip	730.563907909
730.682100906	flip	730.682090673
730.793077411	flip	730.793075475
730.945862334	flip	730.945860121
731.098642002	flip	731.098639789
731.237542692	flip	731.237539926
731.320864685	flip	731.320862749
731.40430893	flip	731.404300356
731.480590618	flip	731.480588682
731.563926441	flip	731.563924504
731.65420438	flip	731.654202444
731.779211986	flip	731.77921005
731.911154794	flip	731.911152858
732.022273188	flip	732.022270423
732.140326785	flip	732.140324572
732.23060583	flip	732.230603618
732.355608181	flip	732.355606245
732.46672215	flip	732.466719385
732.557003409	flip	732.557000643
732.688952025	flip	732.688949812
732.786169315	flip	732.786167379
732.911259898	flip	732.911252983
733.001452371	flip	733.001449605
733.091737225	flip	733.091733352
733.182020696	flip	733.182018206
733.341745799	flip	733.341741927
733.432020972	flip	733.432018483
733.522298911	flip	733.522296422
733.612577127	flip	733.612574361
733.772304166	flip	733.77230223
733.890359422	flip	733.890357486
734.008419104	flip	734.008417168
734.126473806	flip	734.12647187
734.216750639	flip	734.216748703
734.300052718	flip	734.300050782
734.418147803	flip	734.41814559
734.52231523	flip	734.522312188
734.612595935	flip	734.612593446
734.702877193	flip	734.702874704
734.827852715	flip	734.827850226
734.938988811	flip	734.938986875
735.084826639	flip	735.084824427
735.175102919	flip	735.175100983
735.29316343	flip	735.293160941
735.411219516	flip	735.41121758
735.536320609	flip	735.536314801
735.647337219	flip	735.647335006
735.730668339	flip	735.730666127
735.911230579	flip	735.911227813
736.015403262	flip	736.015400772
736.105677052	flip	736.105674286
736.195999522	flip	736.195992884
736.369571795	flip	736.369569859
736.508463911	flip	736.508461145
736.633472347	flip	736.633470134
736.814113692	flip	736.814106777
736.918195376	flip	736.91819344
737.036233483	flip	737.036230718
737.140419995	flip	737.140418059
737.23066502	flip	737.230662808
737.369589497	flip	737.369587561
737.529402556	flip	737.529396194
737.682228691	flip	737.682218457
737.814043438	flip	737.814041225
737.890429953	flip	737.890428293
737.987658029	flip	737.987655817
738.175161832	flip	738.17515962
738.279333409	flip	738.279331472
738.383495581	flip	738.383493645
738.480724487	flip	738.480720338
738.577922969	flip	738.577921033
738.682112523	flip	738.682110587
738.758606908	flip	738.758598887
738.855723796	flip	738.85572186
739.071010447	flip	739.071008788
739.168303246	flip	739.168295225
739.272403739	flip	739.272401802
739.390460101	flip	739.390458165
739.529454555	flip	739.529447087
739.654321377	flip	739.654319164
739.730741636	flip	739.730739976
739.869635964	flip	739.869633475
739.987697582	flip	739.987695645
740.105755603	flip	740.105751731
740.223811413	flip	740.223809476
740.341867222	flip	740.341865285
740.425201108	flip	740.425199449
740.501589282	flip	740.50158707
740.584923169	flip	740.584921233
740.661437468	flip	740.661426958
740.779353046	flip	740.779351387
740.862709613	flip	740.862707677
740.939098894	flip	740.939096958
741.057157469	flip	741.057155533
741.20993769	flip	741.209935754
741.348831465	flip	741.348829529
741.48770256	flip	741.487699794
741.605758369	flip	741.605756157
741.737705603	flip	741.73770339
741.87668761	flip	741.876679589
742.015510025	flip	742.015507536
742.112734506	flip	742.112732017
742.251627452	flip	742.251625516
742.348845571	flip	742.348843359
742.466908295	flip	742.466905806
742.578018392	flip	742.578015903
742.696074201	flip	742.696072265
742.814140521	flip	742.814138308
742.925250341	flip	742.925247852
743.036361544	flip	743.036359608
743.154416247	flip	743.154414311
743.300261819	flip	743.300257671
743.376645292	flip	743.376642803
743.46692655	flip	743.466924061
743.557208915	flip	743.557205042
743.647484918	flip	743.647482428
743.751654004	flip	743.751651792
743.869705665	flip	743.869702622
744.00165677	flip	744.001654834
744.098879039	flip	744.098877102
744.258608844	flip	744.258606078
744.383610642	flip	744.383608429
744.473888858	flip	744.473886645
744.584999784	flip	744.584997848
744.696115136	flip	744.696112371
744.800280074	flip	744.800278138
744.890560226	flip	744.890558014
744.987763686	flip	744.987761474
745.105843282	flip	745.10584024
745.223900198	flip	745.223897985
745.314182562	flip	745.314180626
745.411402618	flip	745.411400405
745.536410224	flip	745.536408011
745.696141136	flip	745.696138923
745.828077859	flip	745.828075923
745.953084082	flip	745.953082146
746.064161541	flip	746.064159605
746.189205934	flip	746.189201785
746.272532076	flip	746.27252931
746.390680819	flip	746.390672522
746.550327924	flip	746.550325435
746.689205381	flip	746.689203168
746.807263403	flip	746.80726119
746.939213125	flip	746.939210636
747.036481031	flip	747.036475223
747.189318783	flip	747.189313527
747.348942654	flip	747.348940718
747.474040705	flip	747.474034897
747.605971067	flip	747.605966088
747.696171007	flip	747.696168795
747.828113815	flip	747.828111879
747.99478712	flip	747.994785184
748.105901089	flip	748.105899153
748.258680481	flip	748.258678545
748.376738226	flip	748.376736013
748.508781712	flip	748.508775904
748.626743204	flip	748.626740992
748.723966026	flip	748.723963537
748.835082208	flip	748.835079995
748.946193411	flip	748.946191475
749.050361945	flip	749.050360009
749.161474255	flip	749.161472318
749.307309593	flip	749.30730738
749.418424669	flip	749.418422733
749.529536702	flip	749.529534766
749.682318029	flip	749.682316093
749.786484627	flip	749.78648269
749.869786429	flip	749.869784493
749.987881237	flip	749.987877641
750.168438775	flip	750.168436562
750.28649735	flip	750.286495414
750.425389742	flip	750.425386146
750.564277432	flip	750.564274943
750.717150587	flip	750.717144502
750.98789479	flip	750.987892854
751.1128988	flip	751.112896864
751.230960418	flip	751.230958482
751.369893469	flip	751.36989015
751.474018578	flip	751.474016642
751.571242506	flip	751.57124057
751.730966226	flip	751.730964014
751.849025078	flip	751.849023142
751.974027429	flip	751.974025769
752.078176878	flip	752.078174942
752.189348378	flip	752.189344782
752.321222868	flip	752.321220932
752.474036003	flip	752.474034067
752.592094855	flip	752.592092642
752.710152876	flip	752.71015094
752.84904195	flip	752.849040014
752.932376943	flip	752.932375283
753.015807359	flip	753.015802104
753.14764368	flip	753.147640084
753.26571802	flip	753.265715808
753.425476038	flip	753.425471336
753.522632478	flip	753.522630265
753.612946927	flip	753.612944714
753.710169472	flip	753.710167536
753.828226387	flip	753.828224451
753.953227079	flip	753.953224866
754.071289526	flip	754.071287313
754.189345059	flip	754.189342846
754.335182886	flip	754.33518095
754.432407644	flip	754.432404878
754.543521337	flip	754.543519124
754.717136758	flip	754.717133715
754.828243812	flip	754.8282416
754.960190769	flip	754.960188833
755.043528528	flip	755.043526592
755.133805914	flip	755.133803978
755.251864212	flip	755.251862
755.342108684	flip	755.342106748
755.425481293	flip	755.425479357
755.501868638	flip	755.501866702
755.592149619	flip	755.592147683
755.71021013	flip	755.710207641
755.793540145	flip	755.793537379
755.869933574	flip	755.869930808
755.946321472	flip	755.946318983
756.022713519	flip	756.022711029
756.140771817	flip	756.140769604
756.231049203	flip	756.231047267
756.369944914	flip	756.369942978
756.467167183	flip	756.46716497
756.550500793	flip	756.550498303
756.668558538	flip	756.668554942
756.765784955	flip	756.765782466
756.856059022	flip	756.856056533
756.960229492	flip	756.960227279
757.050507431	flip	757.050505495
757.182453005	flip	757.182451069
757.30051158	flip	757.300509644
757.418571261	flip	757.418569325
757.536628453	flip	757.536626517
757.661630251	flip	757.661628315
757.79357942	flip	757.793577484
757.904694773	flip	757.904692007
758.03665058	flip	758.036648368
758.133863998	flip	758.133861785
758.258864136	flip	758.2588622
