# {'date': '2015-03-11 12_38_03.638000', 'exp_name': 'capd', 'session': '5', 'participant': '3'}
timestamp	event	value
24.0774706828	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
24.07751715	flip	24.0774673637
2128.52247061	keypress	1
2128.49561992	flip	2128.49561632
2128.64224228	flip	2128.64223703
2129.17203298	flip	2129.17202855
2134.43869822	flip	2134.43869629
2134.55540266	flip	2134.55540045
2134.65539995	flip	2134.65539802
2134.75537069	flip	2134.75536848
2134.85536991	flip	2134.85536798
2134.9553755	flip	2134.95537357
2135.05538413	flip	2135.05538247
2135.15538114	flip	2135.15537921
2135.27208531	flip	2135.27208309
2135.37208923	flip	2135.37208702
2135.47208459	flip	2135.47208293
2135.57210207	flip	2135.57210013
2135.67206921	flip	2135.67206727
2135.77206346	flip	2135.77206152
2135.87205743	flip	2135.87205549
2135.97207214	flip	2135.97207021
2136.07206279	flip	2136.07206058
2136.17207363	flip	2136.17207198
2136.28878416	flip	2136.28878195
2136.38877039	flip	2136.38876845
2136.48878621	flip	2136.48878455
2136.58878433	flip	2136.58878239
2136.68877332	flip	2136.68877138
2136.78878416	flip	2136.78878222
2136.8887867	flip	2136.88878504
2137.0220943	flip	2137.02209208
2137.12209186	flip	2137.12208993
2137.25546169	flip	2137.25545975
2137.4054366	flip	2137.40543466
2137.5054397	flip	2137.50543776
2137.60544141	flip	2137.60543948
2137.7054423	flip	2137.70544064
2137.80544318	flip	2137.80544097
2137.92210918	flip	2137.92210752
2138.02227629	flip	2138.02226799
2138.12215188	flip	2138.12215022
2138.27213011	flip	2138.27212818
2138.37212408	flip	2138.37212243
2138.47212718	flip	2138.47212525
2138.57212558	flip	2138.57212392
2138.67216491	flip	2138.67216297
2138.77216109	flip	2138.77215916
2138.8721653	flip	2138.87216336
2138.97216978	flip	2138.97216784
2139.07216541	flip	2139.07216347
2139.1721768	flip	2139.17217487
2139.27217382	flip	2139.27217188
2139.37219683	flip	2139.37219489
2139.48881801	flip	2139.48881608
2139.62219116	flip	2139.62218922
2139.72219896	flip	2139.72219702
2139.85549161	flip	2139.85548968
2139.95549914	flip	2139.9554972
2140.05550085	flip	2140.05549864
2140.15550312	flip	2140.15550118
2140.25547192	flip	2140.25546998
2140.35547751	flip	2140.3554753
2140.45547812	flip	2140.45547618
2140.55551911	flip	2140.55551689
2140.65551889	flip	2140.65551695
2140.73885162	flip	2140.73884996
2140.82218878	flip	2140.82218684
2140.90552179	flip	2140.90551958
2140.98884457	flip	2140.98884291
2141.07218975	flip	2141.07218781
2141.17219755	flip	2141.17219533
2141.25553249	flip	2141.25553028
2141.33886799	flip	2141.33886578
2141.42220432	flip	2141.42220211
2141.50554093	flip	2141.50553899
2141.67220557	flip	2141.67220363
2141.75554771	flip	2141.75554605
2141.88904144	flip	2141.88903674
2141.97224916	flip	2141.97224722
2142.05558272	flip	2142.05558079
2142.13892265	flip	2142.13892044
2142.27221254	flip	2142.27221033
2142.35555468	flip	2142.35555274
2142.4555716	flip	2142.45556939
2142.55556585	flip	2142.55556391
2142.65555761	flip	2142.65555595
2142.75556209	flip	2142.75556015
2142.85556187	flip	2142.85555993
2142.9555669	flip	2142.95556469
2143.05556834	flip	2143.05556668
2143.15557808	flip	2143.15557614
