# {'date': '2015-04-22 09_44_13.080000', 'exp_name': 'capd', 'session': '4', 'participant': '10'}
timestamp	event	value
17.8834524785	screen_text	We will now perform a screen calibration.\n\nPress a button to continue.
17.8834997751	flip	17.8834474999
2137.92981934	keypress	1
2137.87091527	flip	2137.87091333
2137.948882	flip	2137.94887619
2138.4677907	flip	2138.46778434
2145.05806701	flip	2145.05806507
2145.16918537	flip	2145.16918316
2145.28029572	flip	2145.28029378
2145.35668617	flip	2145.35668396
2145.4330769	flip	2145.43307496
2145.51641055	flip	2145.51640834
2145.61363089	flip	2145.61362896
2145.71085649	flip	2145.71085428
2145.80808347	flip	2145.80808153
2145.92613895	flip	2145.92613701
2146.0441972	flip	2146.04419526
2146.20391301	flip	2146.20391052
2146.28725386	flip	2146.28725164
2146.36364708	flip	2146.36364403
2146.4469788	flip	2146.44697658
2146.52336952	flip	2146.52336731
2146.62059595	flip	2146.62059401
2146.71781767	flip	2146.71781574
2146.84282438	flip	2146.84282189
2146.95391259	flip	2146.95391038
2147.0372634	flip	2147.03726119
2147.12060148	flip	2147.12059954
2147.19699304	flip	2147.1969911
2147.28032642	flip	2147.28032421
2147.356713	flip	2147.35671079
2147.44005219	flip	2147.44004997
2147.51643766	flip	2147.51643572
2147.62060978	flip	2147.62060784
2147.71783371	flip	2147.7178315
2147.81505433	flip	2147.81505239
2147.91922589	flip	2147.91922368
2148.00950856	flip	2148.00950635
2148.09978321	flip	2148.09978127
2148.19006284	flip	2148.1900609
2148.34284512	flip	2148.34284291
2148.42617795	flip	2148.42617601
2148.51645785	flip	2148.51645592
2148.60673803	flip	2148.60673609
2148.69701323	flip	2148.69701129
2148.78729258	flip	2148.78729037
2148.87757331	flip	2148.87757138
2148.9678546	flip	2148.96785238
2149.05812952	flip	2149.05812731
2149.14146677	flip	2149.14146456
2149.23174529	flip	2149.23174308
2149.30813547	flip	2149.30813353
2149.41228601	flip	2149.41228297
2149.52338391	flip	2149.52338197
2149.62758147	flip	2149.62757926
2149.74564331	flip	2149.74564138
2149.86370073	flip	2149.8636988
2149.98175649	flip	2149.98175456
2150.13454459	flip	2150.1345421
2150.23870398	flip	2150.23870205
2150.37065279	flip	2150.37065085
2150.46093186	flip	2150.46092965
2150.53731982	flip	2150.53731789
2150.6206568	flip	2150.62065486
2150.71093283	flip	2150.71093089
2150.82204815	flip	2150.82204621
2150.89843777	flip	2150.89843584
2150.98177309	flip	2150.98177088
2151.06517893	flip	2151.06517064
2151.17634653	flip	2151.17633685
2151.28733268	flip	2151.28733047
2151.38455911	flip	2151.3845569
2151.48178166	flip	2151.48177945
2151.55817211	flip	2151.55817018
2151.64151047	flip	2151.64150826
2151.78741013	flip	2151.78740681
2151.87761867	flip	2151.87761646
2151.96095482	flip	2151.96095288
2152.03734416	flip	2152.03734223
2152.12068141	flip	2152.1206792
2152.210958	flip	2152.21095606
2152.32207166	flip	2152.32206945
2152.41235018	flip	2152.41234824
2152.50262676	flip	2152.50262455
2152.59291192	flip	2152.59290971
2152.68318906	flip	2152.68318684
2152.77346536	flip	2152.77346315
2152.91237065	flip	2152.91236788
2153.00263727	flip	2153.00263506
2153.08597093	flip	2153.08596899
2153.19714461	flip	2153.19714184
2153.30819964	flip	2153.30819742
2153.39847732	flip	2153.39847566
2153.48875723	flip	2153.48875501
2153.57903298	flip	2153.57903104
2153.66931261	flip	2153.66931067
2153.76653682	flip	2153.76653488
2153.89848562	flip	2153.89848369
2154.03043249	flip	2154.03043055
2154.14848991	flip	2154.14848797
2154.26654346	flip	2154.26654152
2154.3846053	flip	2154.38460364
2154.51661551	flip	2154.51661163
2154.59988223	flip	2154.59988057
2154.69016185	flip	2154.69015992
2154.78745909	flip	2154.78745079
2154.91933183	flip	2154.91932989
2155.00961062	flip	2155.00960869
2155.09989219	flip	2155.09989053
2155.21100557	flip	2155.21100363
2155.36378897	flip	2155.36378675
2155.51657181	flip	2155.51656904
2155.63462203	flip	2155.6346201
2155.75268001	flip	2155.75267807
2155.86377928	flip	2155.86377735
2155.98185136	flip	2155.98184943
2156.09991127	flip	2156.09990906
2156.17629674	flip	2156.17629453
2156.28046997	flip	2156.2804672
2156.35685904	flip	2156.356856
2156.46797076	flip	2156.46796855
2156.59991487	flip	2156.59991293
2156.71102825	flip	2156.71102632
2156.82214136	flip	2156.82213942
2156.93325419	flip	2156.93325226
2157.04436564	flip	2157.04436371
2157.16945947	flip	2157.16945367
2157.28742977	flip	2157.28742755
2157.42632095	flip	2157.42631901
2157.50965322	flip	2157.50965128
2157.60001167	flip	2157.60000365
2157.69020832	flip	2157.69020611
2157.84994488	flip	2157.84994073
2157.98188455	flip	2157.98188262
2158.09299241	flip	2158.09299075
2158.2041069	flip	2158.20410469
2158.32216293	flip	2158.322161
2158.43327604	flip	2158.43327411
2158.54439192	flip	2158.54438998
2158.64856072	flip	2158.6485585
2158.73883841	flip	2158.73883647
2158.89161737	flip	2158.89161544
2159.02353271	flip	2159.02353078
2159.14856763	flip	2159.14856542
2159.26662726	flip	2159.26662505
2159.40561552	flip	2159.40560944
2159.5096853	flip	2159.50968337
2159.59996299	flip	2159.59996106
2159.69024041	flip	2159.69023847
2159.84996894	flip	2159.84996673
2159.96802304	flip	2159.9680211
2160.08608212	flip	2160.08608018
2160.20414258	flip	2160.20414037
2160.34303265	flip	2160.34303044
2160.43330702	flip	2160.43330508
2160.52358748	flip	2160.52358526
2160.6624817	flip	2160.66247976
2160.75275883	flip	2160.7527569
2160.90553891	flip	2160.9055367
2161.0374855	flip	2161.03748329
2161.16943182	flip	2161.16942988
2161.30147632	flip	2161.30147051
2161.40554831	flip	2161.40554638
2161.50277197	flip	2161.50277031
2161.60694022	flip	2161.606938
2161.71805471	flip	2161.71805194
2161.82913297	flip	2161.82913103
2161.93333606	flip	2161.9333333
2162.04444668	flip	2162.04444475
2162.16250825	flip	2162.16250382
2162.27361749	flip	2162.27361527
2162.37083783	flip	2162.37083561
2162.46111607	flip	2162.46111413
2162.55140925	flip	2162.55140703
2162.66250991	flip	2162.66250714
2162.75973633	flip	2162.7597344
2162.87084889	flip	2162.87084668
2162.96112879	flip	2162.96112686
2163.05140454	flip	2163.05140233
2163.18335031	flip	2163.18334837
2163.27363021	flip	2163.273628
2163.37085636	flip	2163.37085442
2163.4611346	flip	2163.46113239
2163.55141395	flip	2163.55141174
2163.66252319	flip	2163.66252125
2163.76669281	flip	2163.76669088
2163.87086438	flip	2163.87086134
2164.02364224	flip	2164.0236403
2164.12086479	flip	2164.12086286
2164.21114525	flip	2164.21114304
2164.30142653	flip	2164.3014246
2164.44038852	flip	2164.44038299
2164.54448568	flip	2164.54448402
2164.64170768	flip	2164.64170602
2164.73198675	flip	2164.73198482
2164.82226693	flip	2164.822265
2164.91254545	flip	2164.91254351
2165.00282535	flip	2165.00282342
2165.09310636	flip	2165.09310442
2165.18338267	flip	2165.18338073
2165.27366755	flip	2165.27366534
2165.37088651	flip	2165.37088457
2165.46116585	flip	2165.46116392
2165.55144603	flip	2165.55144382
2165.64172511	flip	2165.64172317
2165.73200473	flip	2165.73200279
2165.82922535	flip	2165.82922341
2165.94034537	flip	2165.94034233
